Song,Artist,Writer(s),Original release,Year,Ref.
"""Only Our Hearts""",Paul McCartney,Paul McCartney,Kisses on the Bottom,2012,[48]
"""Oo You""",Paul McCartney,Paul McCartney,McCartney,1970,[105]
"""Opening Station""",Paul McCartney,Paul McCartney,Egypt Station,2018,[66]
"""The Other Me""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[63]
"""Out of Sight""",The Bloody Beetrootsfeaturing Paul McCartney& Youth,Paul McCartney,Non-album single,2013,[151]
"""Où est le Soleil?""",Paul McCartney,Paul McCartney,"B-side to ""Figure of Eight"" (7"" single)",1989,[152]
"""Palo Verde""",The Fireman,Paul McCartneyYouth,Rushes,1998,[46]
"""Party""(Wanda Jackson cover)",Paul McCartney,Jessie Mae Robinson,Run Devil Run,1999,[55]
"""Party, Party""",Paul McCartney,"Paul McCartneyLinda McCartneyRobbie McIntoshHamish StuartChris WhittenPaul ""Wix"" Wickens",Flowers in the Dirt: Special Package(1990 Japanese tour edition),1990,[153]
"""Peace in the Neighbourhood""",Paul McCartney,Paul McCartney,Off the Ground,1993,[77]
"""People Want Peace""",Paul McCartney,Paul McCartney,Egypt Station,2018,[66]
"""Peter Blake 2000""",Paul McCartney,Super Furry AnimalsThe Beatles,Liverpool Sound Collage,2000,[111]
"""Picasso's Last Words (Drink to Me)""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Band on the Run,1973,[72]
"""Pipes of Peace""",Paul McCartney,Paul McCartney,Pipes of Peace,1983,[63]
"""Plastic Beetle""",Paul McCartney,Paul McCartneyThe Beatles,Liverpool Sound Collage,2000,[111]
"""Playboy to a Man"" (demo)",Paul McCartney,Paul McCartneyDeclan MacManus,Flowers in the Dirt (Archive Collection),2017,[126]
"""The Pound Is Sinking""",Paul McCartney,Paul McCartney,Tug of War,1982,[71]
"""Press""",Paul McCartney,Paul McCartney,Press to Play,1986,[58]
"""Pretty Little Head""",Paul McCartney,Paul McCartney,Press to Play,1986,[58]
"""Promise to You Girl""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[60]
"""Pure Trance""",The Fireman,Paul McCartneyYouth,Strawberries Oceans Ships Forest,1993,[44]
"""Put It There""",Paul McCartney,Paul McCartney,Flowers in the Dirt,1989,[101]
"""Queenie Eye""",Paul McCartney,Paul McCartneyPaul Epworth,New,2013,[57]
"""Rainclouds""",Paul McCartney,Paul McCartney,"B-side to ""Ebony and Ivory""",1982,[154]
"""Ram On""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[43]
"""Ram On (Reprise)""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[43]
"""Real Gone Dub Made in Manifest in the Vortex of the Eternal Now""",Paul McCartney,Youth,Liverpool Sound Collage,2000,[111]
"""Really Love You""",Paul McCartney,Paul McCartneyRichard Starkey,Flaming Pie,1997,[73]
"""Reception""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""Richard Cory"" (live)(Simon & Garfunkel cover)",Wings,Paul Simon,Wings over America,1976,[118]
"""Riding into Jaipur""",Paul McCartney,Paul McCartney,Driving Rain,2001,[47]
"""Riding to Vanity Fair""",Paul McCartney,Paul McCartney,Chaos and Creation in the Backyard,2005,[60]
"""Rinse the Raindrops""",Paul McCartney,Paul McCartney,Driving Rain,2001,[47]
"""Road""",Paul McCartney,Paul McCartneyPaul Epworth,New,2013,[57]
